行政區名,_x0033_碼郵遞區號,中心點經度,中心點緯度,A1死亡人數,A1受傷人數,A2受傷人數,總受傷人數,總傷亡人數
苗栗縣苗栗市,360,120.8112299,24.56382141,2,1,2299,2300,2302
苗栗縣泰安鄉,365,121.0681571,24.41925819,0,0,10,10,10
苗栗縣通霄鎮,357,120.7146378,24.4850464,9,5,310,315,324
苗栗縣造橋鄉,361,120.8695663,24.62481314,2,0,107,107,109
苗栗縣獅潭鄉,354,120.9206688,24.51978614,4,0,36,36,40
苗栗縣銅鑼鄉,366,120.7992043,24.45591832,1,0,232,232,233
苗栗縣頭份市,351,120.9189437,24.67628243,8,1,1967,1968,1976
苗栗縣頭屋鄉,362,120.8826631,24.57345497,2,0,107,107,109
桃園市八德區,334,121.2913102,24.94968903,9,4,6103,6107,6116
桃園市大園區,337,121.21177,25.06384709,12,2,2362,2364,2376
桃園市大溪區,335,121.296342,24.86797026,10,2,2459,2461,2471
桃園市中壢區,320,121.2147243,24.97993803,27,17,15447,15464,15491
桃園市平鎮區,324,121.2140051,24.92117923,14,9,6130,6139,6153
桃園市桃園區,330,121.2996612,25.00040024,16,1,12543,12544,12560
桃園市復興區,336,121.3754588,24.72949884,1,0,152,152,153
桃園市新屋區,327,121.067758,24.97280352,10,4,1144,1148,1158
桃園市楊梅區,326,121.1291697,24.91820989,13,5,3701,3706,3719
桃園市龍潭區,325,121.2117877,24.85064954,17,5,2973,2978,2995
桃園市龜山區,333,121.3569265,25.02417472,17,2,5540,5542,5559
桃園市蘆竹區,338,121.2831266,25.06073337,20,12,4635,4647,4667
桃園市觀音區,328,121.1155021,25.02671611,11,0,1417,1417,1428
高雄市三民區,807,120.3179187,22.64989883,14,9,6938,6947,6961
高雄市大社區,815,120.3707994,22.73983479,3,0,1187,1187,1190
高雄市大寮區,831,120.4111468,22.59283576,17,5,2978,2983,3000
高雄市大樹區,840,120.425407,22.71100364,9,2,714,716,725
高雄市小港區,812,120.3592605,22.55140207,17,2,2463,2465,2482
高雄市仁武區,814,120.3605265,22.70120782,5,3,2885,2888,2893
高雄市內門區,845,120.4719272,22.95668817,1,1,111,112,113
高雄市六龜區,844,120.6585635,23.01195426,2,2,167,169,171
高雄市左營區,813,120.2951588,22.68395699,11,4,4245,4249,4260
高雄市永安區,828,120.228051,22.82224585,6,5,220,225,231
高雄市田寮區,823,120.3959842,22.86394307,4,5,77,82,86
高雄市甲仙區,847,120.6232895,23.11654995,3,2,18,20,23
高雄市杉林區,846,120.5621971,22.99694681,2,0,62,62,64
高雄市那瑪夏區,849,120.741944,23.275008,0,0,14,14,14
高雄市岡山區,820,120.2978906,22.80505886,9,5,2768,2773,2782
高雄市林園區,832,120.399052,22.50813743,6,3,1135,1138,1144
